Program_Procurement_ID,Procurement_ID,Assemblies,Item_IDs,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_per_station,Production_lots_20,Bench_stations,Total_stations,Base_qty_2x20_plus_1,Spare_qty_two_evt20_lots,Procure_qty_2x20_plus_1,Spare_policy,Procurement_track,BOM_disposition,Status,China_source_policy,Incoming_control,Program_scope
PG-047,PR-047,PCB-MAIN,MAIN-010-R1 | MAIN-010-R28 | MAIN-010-R30 | MAIN-010-R31 | MAIN-010-R46 | MAIN-010-R48 | MAIN-010-R49 | MAIN-010-R67 | MAIN-010-R68 | MAIN-010-R7 | MAIN-010-R76 | MAIN-010-R78 | MAIN-010-R85 | MAIN-010-R86 | MAIN-010-R87 | MAIN-010-R88 | MAIN-010-R89 | MAIN-010-R90 | MAIN-010-R99,Resistor,Panasonic,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,FITTED,19,2,1,41,779,0,779,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-048,PR-048,PCB-PWR,PWR-R-10K-DNP,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-049,PR-049,PCB-PWR,PWR-R-10K,Passive,Panasonic Industry,ERJ-2RKF1002X,0402,10 kOhm 1%,COMMON,FITTED,2,2,1,41,82,80,162,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-050,PR-050,PCB-MAIN,MAIN-010-R4 | MAIN-010-R6,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-051,PR-051,PCB-MAIN,MAIN-010-R19 | MAIN-010-R2 | MAIN-010-R20 | MAIN-010-R21 | MAIN-010-R22 | MAIN-010-R23 | MAIN-010-R29 | MAIN-010-R3 | MAIN-010-R32 | MAIN-010-R33 | MAIN-010-R34 | MAIN-010-R35 | MAIN-010-R45 | MAIN-010-R47 | MAIN-010-R5 | MAIN-010-R63 | MAIN-010-R64 | MAIN-010-R65 | MAIN-010-R66 | MAIN-010-R77 | MAIN-010-R96,Resistor,Panasonic,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,FITTED,21,2,1,41,861,0,861,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-052,PR-052,PCB-PWR,PWR-R-100K,Passive,Panasonic Industry,ERJ-2RKF1003X,0402,100 kOhm 1%,COMMON,FITTED,2,2,1,41,82,80,162,FIXED_LOT_MIN,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_FITTED,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-053,PR-053,PCB-MAIN,MAIN-010-R97,Resistor,Panasonic,ERJ-2RKF1004X,0402,1 MOhm 1%,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-054,PR-054,PCB-MAIN,MAIN-010-R13 | MAIN-010-R14,Resistor,Panasonic,ERJ-2RKF2201X,0402,2.2 kOhm 1%,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-055,PR-055,PCB-MAIN,MAIN-010-R10 | MAIN-010-R101 | MAIN-010-R11 | MAIN-010-R12 | MAIN-010-R15 | MAIN-010-R16 | MAIN-010-R17 | MAIN-010-R18 | MAIN-010-R36 | MAIN-010-R37 | MAIN-010-R56 | MAIN-010-R57 | MAIN-010-R58 | MAIN-010-R69 | MAIN-010-R70 | MAIN-010-R71 | MAIN-010-R72 | MAIN-010-R74 | MAIN-010-R75 | MAIN-010-R79 | MAIN-010-R8 | MAIN-010-R80 | MAIN-010-R81 | MAIN-010-R82 | MAIN-010-R83 | MAIN-010-R84 | MAIN-010-R9 | MAIN-010-R91 | MAIN-010-R92,Resistor,Panasonic,ERJ-2RKF22R0X,0402,22 Ohm 1%,COMMON,FITTED,29,2,1,41,1189,0,1189,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-056,PR-056,PCB-MAIN,MAIN-010-R24 | MAIN-010-R26,Resistor,Panasonic,ERJ-2RKF4701X,0402,4.7 kOhm 1%,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-057,PR-057,PCB-PWR,PWR-R-4K7-DNP,Passive,Panasonic Industry,ERJ-2RKF4701X,0402,4.7 kOhm 1%,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,LOCKED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-058,PR-058,PCB-MAIN,MAIN-010-R25 | MAIN-010-R27 | MAIN-010-R44,Resistor,Panasonic,ERJ-2RKF4702X,0402,47 kOhm 1%,COMMON,FITTED,3,2,1,41,123,0,123,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-059,PR-059,PCB-MAIN,MAIN-010-R93 | MAIN-010-R94,Resistor,Panasonic,ERJ-2RKF5101X,0402,5.1 kOhm 1%,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-060,PR-060,PCB-MAIN,MAIN-010-R62,Resistor,Panasonic,ERJ-8GEYJ100V,1206,10 Ohm 5% 0.25 W,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-061,PR-061,PCB-MAIN,U14-U15,ESD,STMicroelectronics,ESDALC6V1-5P6,SOT666_1.6x1.6mm,,COMMON,FITTED,2,2,1,41,82,20,102,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SIM_ESD_SI_SAMPLE,Authorized distributor,Capacitance leakage ESD rating marking,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-062,PR-062,SYSTEM,ANT-CELL,Antenna,Taoglas,G30.B.108111,IP67 screw-mount dome with 1 m cable and SMA(M),,COMMON,FITTED,1,2,1,41,41,4,45,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED,CONTROLLED_EVT_PURCHASE_EXACT_MPN_VALIDATION_DURING_ASSEMBLY_EVT,Taoglas or established distributor; exact G30.B.108111 only; no substitution; resolve manufacturer page cable-construction discrepancy on quote,Reconcile PO packing slip quantity and visible damage; verify cable length connector mate route seal installed VSWR loss attach and coexistence during assembly EOL and EVT,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-063,PR-063,PCB-MAIN,MAIN-010-C64,Capacitor,Murata,GRM1555C1E470JA01D,0402,47 pF 25 V C0G,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-064,PR-064,PCB-MAIN,MAIN-010-C69 | MAIN-010-C70 | MAIN-010-C79 | MAIN-010-C80,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-065,PR-065,PCB-MAIN,MAIN-010-C43 | MAIN-010-C47,Capacitor,Murata,GRM1555C1H100JA01D,0402,10 pF 50 V C0G,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-066,PR-066,PCB-MAIN,MAIN-010-C40,Capacitor,Murata,GRM1555C1H101JA01D,0402,100 pF 50 V C0G,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-067,PR-067,PCB-MAIN,MAIN-010-C39,Capacitor,Murata,GRM1555C1H151JA01D,0402,150 pF 50 V C0G,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-068,PR-068,PCB-MAIN,MAIN-010-C54 | MAIN-010-C55 | MAIN-010-C56 | MAIN-010-C57 | MAIN-010-C58 | MAIN-010-C59,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-069,PR-069,PCB-MAIN,MAIN-010-C42 | MAIN-010-C46,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-070,PR-070,PCB-MAIN,MAIN-010-C41,Capacitor,Murata,GRM1555C1H680JA01D,0402,68 pF 50 V C0G,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-071,PR-071,PCB-MAIN,MAIN-010-C14 | MAIN-010-C15,Capacitor,Murata,GRM155R61A225KE15D,0402,2.2 uF 10 V X5R,COMMON,FITTED,2,2,1,41,82,0,82,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-072,PR-072,PCB-MAIN,MAIN-010-C11 | MAIN-010-C22 | MAIN-010-C9,Capacitor,Murata,GRM155R61C105KA12D,0402,1 uF 16 V X5R,COMMON,FITTED,3,2,1,41,123,0,123,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-073,PR-073,PCB-MAIN,MAIN-010-C63,Capacitor,Murata,GRM155R71C103KA01D,0402,10 nF 16 V X7R,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-074,PR-074,PCB-MAIN,MAIN-010-C48 | MAIN-010-C52 | MAIN-010-C53 | MAIN-010-C76 | MAIN-010-C78,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,COMMON,FITTED,5,2,1,41,205,0,205,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-075,PR-075,PCB-MAIN,MAIN-010-C16 | MAIN-010-C17,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,COMMON,DNP,0,2,1,41,0,0,0,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-076,PR-076,PCB-MAIN,MAIN-010-C1 | MAIN-010-C10 | MAIN-010-C12 | MAIN-010-C18 | MAIN-010-C2 | MAIN-010-C21 | MAIN-010-C23 | MAIN-010-C25 | MAIN-010-C26 | MAIN-010-C27 | MAIN-010-C28 | MAIN-010-C29 | MAIN-010-C3 | MAIN-010-C30 | MAIN-010-C31 | MAIN-010-C32 | MAIN-010-C33 | MAIN-010-C34 | MAIN-010-C35 | MAIN-010-C4 | MAIN-010-C45 | MAIN-010-C49 | MAIN-010-C5 | MAIN-010-C50 | MAIN-010-C51 | MAIN-010-C60 | MAIN-010-C62 | MAIN-010-C65 | MAIN-010-C66 | MAIN-010-C68 | MAIN-010-C7 | MAIN-010-C71 | MAIN-010-C73 | MAIN-010-C74 | MAIN-010-C8,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,COMMON,FITTED,35,2,1,41,1435,0,1435,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-077,PR-077,PCB-MAIN,MAIN-010-C37,Capacitor,Murata,GRM155R71E224KE14D,0402,220 nF 25 V X7R,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-078,PR-078,PCB-MAIN,MAIN-010-C38,Capacitor,Murata,GRM155R71E473KA01D,0402,47 nF 25 V X7R,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-079,PR-079,PCB-MAIN,MAIN-010-C77,Capacitor,Murata,GRM155R72A472KA01D,0402,4.7 nF 100 V X7R,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-080,PR-080,PCB-MAIN,MAIN-010-C13 | MAIN-010-C20 | MAIN-010-C24 | MAIN-010-C6 | MAIN-010-C61 | MAIN-010-C67 | MAIN-010-C72 | MAIN-010-C75,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,COMMON,FITTED,8,2,1,41,328,0,328,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-081,PR-081,PCB-MAIN,MAIN-010-C19,Capacitor,Murata,GRM21BR61A226ME44L,0805,22 uF 10 V X5R,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-082,PR-082,PCB-PWR,U-MON-01,Monitor,Texas Instruments,INA226AIDGSR,VSSOP-10,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED,SELECTED_REV_A_12PIN_I2C,Authorized distributor,Marking I2C ID calibration and reference-meter compare,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-083,PR-083,PCB-MAIN,U3,Motion,STMicroelectronics,LIS2DW12TR,LGA-12_2x2mm,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,Authorized distributor,Marking orientation WHO_AM_I and self-test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-084,PR-084,PCB-PWR,PWR-REV-CTL,Protection,Texas Instruments,LM74700QDBVRQ1,SOT-23-6,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SCHEMATIC_SAMPLE,Authorized distributor,Marking reverse test and gate waveform,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-085,PR-085,PCB-PWR,U-PWR1 | U-PWR2,Power,Texas Instruments,LMR604403SRAKR,RAK-9,,COMMON,FITTED,2,2,1,41,82,20,102,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_DESIGN_CALC_SAMPLE,Authorized distributor,Load step ripple efficiency sleep current thermal and EMI | Load step ripple efficiency thermal and EMI,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-086,PR-086,PCB-MAIN,MAIN-010-L1,Inductor,Murata,LQH32PN2R2NN0L,1210,2.2 uH 20%,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-087,PR-087,PCB-MAIN,MAIN-010-L2,Inductor,Murata,LQW15AN27NJ00D,0402,27 nH 5%,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-088,PR-088,PCB-MAIN,MAIN-010-U5,Operational_Amplifier,Analog Devices,LT6000IDCB#TRMPBF,DFN-6_DCB_2x3mm,Single rail-to-rail low-power op amp,COMMON,FITTED,1,2,1,41,41,0,41,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-089,PR-089,PCB-MAIN,U9,GNSS,u-blox,MAX-M10S-00B,LCC-18_9.7x10.1mm,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_GNSS_RF_TIMING_SAMPLE,Authorized distributor or traceable module channel,Marking firmware satellite fix PPS test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-090,PR-090,PCB-MAIN,U11,BLE,Raytac,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_ENCLOSURE_RF,Raytac authorized channel or traceable distributor,Module label firmware BLE 2M coded PHY pairing OTA current RF range and temperature test,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-091,PR-091,PCB-MAIN,J-SD1,Connector,GCT,MEM2052-00-195-00-A,microSD push-push SMT 1.95 mm with detect,,COMMON,FITTED,1,2,1,41,41,10,51,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized GCT distributor,Mating detect coplanarity and cycle sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-092,PR-092,PCB-MAIN,Q-MODEM-PWRKEY | Q-MODEM-RESET | Q-SIM-MUX-EN,Transistor,Nexperia,"MMBT3904,215",SOT23,,COMMON,FITTED,3,2,1,41,123,30,153,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CONTROL_TIMING_SAMPLE | SELECTED_PENDING_SIM_SAFE_STATE_SAMPLE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-093,PR-093,PCB-MIC,MK1,Microphone,TDK InvenSense,MMICT5838-00-012,LGA-CAV-5 3.5x2.65x0.98 mm,,COMMON,FITTED,4,2,1,41,164,32,196,SCALE_CEIL_FROM_20_BASELINE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,TDK authorized channel and same lot requested,Marking lot acoustic sensitivity noise phase and port inspection,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
PG-094,PR-094,PCB-PWR,PWR-NET-TIE,PCB feature,PCB fabrication,NET_TIE_COPPER_REV_A,NetTie-2 SMD pad 0.5 mm,2-pad copper net tie,COMMON,PCB_FEATURE,3,2,1,41,123,0,123,NONE,COMMON_PROGRAM_PROCUREMENT,CONTROLLED_PENDING_VERIFICATION,LOCKED_LAYOUT_PENDING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample,TWO_EVT20_PRODUCTION_SETS_PLUS_ONE_BENCH; two EVT-20 reserve pools; no third reserve pool for bench
