Procurement_ID,Assemblies,Item_IDs,RefDes,Category,Manufacturer,MPN,Package,Value,Variant,Population,Qty_4,Spares_4,Procure_qty_4,Qty_10,Spares_10,Procure_qty_10,Qty_20,Spares_20,Procure_qty_20,Spare_policy,BOM_disposition,Status,China_source_policy,Incoming_control
PR-069,PCB-MAIN,MAIN-010-C40,C40,Capacitor,Murata,GRM1555C1H101JA01D,0402,100 pF 50 V C0G,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-070,PCB-MAIN,MAIN-010-C39,C39,Capacitor,Murata,GRM1555C1H151JA01D,0402,150 pF 50 V C0G,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-071,PCB-MAIN,MAIN-010-C54 | MAIN-010-C55 | MAIN-010-C56 | MAIN-010-C57 | MAIN-010-C58 | MAIN-010-C59,C54 | C55 | C56 | C57 | C58 | C59,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-072,PCB-MAIN,MAIN-010-C42 | MAIN-010-C46,C42 | C46,Capacitor,Murata,GRM1555C1H330JA01D,0402,33 pF 50 V C0G,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-073,PCB-MAIN,MAIN-010-C41,C41,Capacitor,Murata,GRM1555C1H680JA01D,0402,68 pF 50 V C0G,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-074,PCB-MAIN,MAIN-010-C14 | MAIN-010-C15,C14 | C15,Capacitor,Murata,GRM155R61A225KE15D,0402,2.2 uF 10 V X5R,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-075,PCB-MAIN,MAIN-010-C11 | MAIN-010-C22 | MAIN-010-C9,C11 | C22 | C9,Capacitor,Murata,GRM155R61C105KA12D,0402,1 uF 16 V X5R,COMMON,FITTED,12,0,12,30,0,30,60,0,60,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-076,PCB-MAIN,MAIN-010-C63,C63,Capacitor,Murata,GRM155R71C103KA01D,0402,10 nF 16 V X7R,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-077,PCB-MAIN,MAIN-010-C48 | MAIN-010-C52 | MAIN-010-C53 | MAIN-010-C76 | MAIN-010-C78,C48 | C52 | C53 | C76 | C78,Capacitor,Murata,GRM155R71E103KA01D,0402,10 nF 25 V X7R,COMMON,FITTED,20,0,20,50,0,50,100,0,100,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-078,PCB-MAIN,MAIN-010-C16 | MAIN-010-C17,C16 | C17,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,COMMON,DNP,0,0,0,0,0,0,0,0,0,NONE,CONTROLLED_DNP,CONTROLLED_DNP,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-079,PCB-MAIN,MAIN-010-C1 | MAIN-010-C10 | MAIN-010-C12 | MAIN-010-C18 | MAIN-010-C2 | MAIN-010-C21 | MAIN-010-C23 | MAIN-010-C25 | MAIN-010-C26 | MAIN-010-C27 | MAIN-010-C28 | MAIN-010-C29 | MAIN-010-C3 | MAIN-010-C30 | MAIN-010-C31 | MAIN-010-C32 | MAIN-010-C33 | MAIN-010-C34 | MAIN-010-C35 | MAIN-010-C4 | MAIN-010-C45 | MAIN-010-C49 | MAIN-010-C5 | MAIN-010-C50 | MAIN-010-C51 | MAIN-010-C60 | MAIN-010-C62 | MAIN-010-C65 | MAIN-010-C66 | MAIN-010-C68 | MAIN-010-C7 | MAIN-010-C71 | MAIN-010-C73 | MAIN-010-C74 | MAIN-010-C8,C1 | C10 | C12 | C18 | C2 | C21 | C23 | C25 | C26 | C27 | C28 | C29 | C3 | C30 | C31 | C32 | C33 | C34 | C35 | C4 | C45 | C49 | C5 | C50 | C51 | C60 | C62 | C65 | C66 | C68 | C7 | C71 | C73 | C74 | C8,Capacitor,Murata,GRM155R71E104KE14D,0402,100 nF 25 V X7R,COMMON,FITTED,140,0,140,350,0,350,700,0,700,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-080,PCB-MAIN,MAIN-010-C37,C37,Capacitor,Murata,GRM155R71E224KE14D,0402,220 nF 25 V X7R,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-081,PCB-MAIN,MAIN-010-C38,C38,Capacitor,Murata,GRM155R71E473KA01D,0402,47 nF 25 V X7R,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-082,PCB-MAIN,MAIN-010-C77,C77,Capacitor,Murata,GRM155R72A472KA01D,0402,4.7 nF 100 V X7R,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-083,PCB-MAIN,MAIN-010-C13 | MAIN-010-C20 | MAIN-010-C24 | MAIN-010-C6 | MAIN-010-C61 | MAIN-010-C67 | MAIN-010-C72 | MAIN-010-C75,C13 | C20 | C24 | C6 | C61 | C67 | C72 | C75,Capacitor,Murata,GRM188R61A106KE69D,0603,10 uF 10 V X5R,COMMON,FITTED,32,0,32,80,0,80,160,0,160,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-084,PCB-MAIN,MAIN-010-C19,C19,Capacitor,Murata,GRM21BR61A226ME44L,0805,22 uF 10 V X5R,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-085,PCB-PWR,U-MON-01,U2,Monitor,Texas Instruments,INA226AIDGSR,VSSOP-10,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED,SELECTED_REV_A_12PIN_I2C,Authorized distributor,Marking I2C ID calibration and reference-meter compare
PR-086,PCB-MAIN,U3,U3,Motion,STMicroelectronics,LIS2DW12TR,LGA-12_2x2mm,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,Authorized distributor,Marking orientation WHO_AM_I and self-test
PR-087,PCB-PWR,PWR-REV-CTL,U1,Protection,Texas Instruments,LM74700QDBVRQ1,SOT-23-6,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SCHEMATIC_SAMPLE,Authorized distributor,Marking reverse test and gate waveform
PR-088,PCB-PWR,U-PWR1 | U-PWR2,U3 | U4,Power,Texas Instruments,LMR604403SRAKR,RAK-9,,COMMON,FITTED,8,2,10,20,6,26,40,10,50,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_DESIGN_CALC_SAMPLE,Authorized distributor,Load step ripple efficiency sleep current thermal and EMI | Load step ripple efficiency thermal and EMI
PR-089,PCB-MAIN,MAIN-010-L1,L1,Inductor,Murata,LQH32PN2R2NN0L,1210,2.2 uH 20%,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-090,PCB-MAIN,MAIN-010-L2,L2,Inductor,Murata,LQW15AN27NJ00D,0402,27 nH 5%,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-091,PCB-MAIN,MAIN-010-U5,U5,Operational_Amplifier,Analog Devices,LT6000IDCB#TRMPBF,DFN-6_DCB_2x3mm,Single rail-to-rail low-power op amp,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-092,PCB-MAIN,U9,U9,GNSS,u-blox,MAX-M10S-00B,LCC-18_9.7x10.1mm,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_GNSS_RF_TIMING_SAMPLE,Authorized distributor or traceable module channel,Marking firmware satellite fix PPS test
PR-093,PCB-MAIN,U11,U11,BLE,Raytac,MDBT50Q-P1MV2,nRF52840_SMD_10.5x15.5_61P_PCB_antenna,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_ENCLOSURE_RF,Raytac authorized channel or traceable distributor,Module label firmware BLE 2M coded PHY pairing OTA current RF range and temperature test
PR-094,PCB-MAIN,J-SD1,J12,Connector,GCT,MEM2052-00-195-00-A,microSD push-push SMT 1.95 mm with detect,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized GCT distributor,Mating detect coplanarity and cycle sample
PR-095,PCB-MAIN,Q-MODEM-PWRKEY | Q-MODEM-RESET | Q-SIM-MUX-EN,Q1 | Q2 | Q3,Transistor,Nexperia,"MMBT3904,215",SOT23,,COMMON,FITTED,12,3,15,30,9,39,60,15,75,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_CONTROL_TIMING_SAMPLE | SELECTED_PENDING_SIM_SAFE_STATE_SAMPLE,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-096,PCB-MIC,MK1,MK1,Microphone,TDK InvenSense,MMICT5838-00-012,LGA-CAV-5 3.5x2.65x0.98 mm,,COMMON,FITTED,16,4,20,40,8,48,80,16,96,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,TDK authorized channel and same lot requested,Marking lot acoustic sensitivity noise phase and port inspection
PR-097,PCB-PWR,PWR-NET-TIE,NT1;NT2;NT3,PCB feature,PCB fabrication,NET_TIE_COPPER_REV_A,NetTie-2 SMD pad 0.5 mm,2-pad copper net tie,COMMON,PCB_FEATURE,12,0,12,30,0,30,60,0,60,NONE,CONTROLLED_PENDING_VERIFICATION,LOCKED_LAYOUT_PENDING,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-098,PCB-MAIN,MAIN-010-D3 | MAIN-010-D5,D3 | D5,RF_ESD,Nexperia,PESD5V0C1BSF,SOD962-2,5 V bidirectional 0.2 pF RF ESD,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-099,PCB-MAIN,MAIN-010-D1 | MAIN-010-D2,D1 | D2,Supply_TVS,Nexperia,PESD5V0S1UL,SOD882,5 V unidirectional 150 W TVS,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-100,PCB-MAIN,U12,U12,Storage,Kingston,SDCIT2/32GB,microSD_card_8_contact,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE_ENDURANCE,Kingston authorized channel,CID capacity full write/read temperature and power-loss sample
PR-101,PCB-PWR,PWR-TVS-01,D1,Protection,Littelfuse,SMBJ18A,SMB_DO-214AA,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,BLOCKED_ENGINEERING_SELECTION,CANDIDATE_PENDING_SURGE_PROFILE,Authorized distributor,Marking clamp pulse and thermal sample
PR-102,PCB-MAIN,U18,U18,Logic,Texas Instruments,SN74AXC1T45DRLR,SOT-5X3_6,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_AAD_WAKE_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-103,PCB-MAIN,U16 | U7,U16 | U7,Level translator | Logic,Texas Instruments,SN74AXC8T245PWR,TSSOP-24,,COMMON,FITTED,8,2,10,20,6,26,40,10,50,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SI_AAD_SAMPLE | SELECTED_PENDING_UART_POWER_SAMPLE,Authorized or traceable tier-1 channel | Do not substitute auto-direction device without review,Logic levels direction leakage sleep test | Marking MPN package orientation electrical functional sample
PR-104,PCB-MAIN,MAIN-010-U6,U6,Open_Drain_Buffer,Texas Instruments,SN74LVC1G07DBVR,SOT-23-5_DBV,Single non-inverting open-drain buffer,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-105,PCB-MAIN,U17,U17,Logic,Texas Instruments,SN74LVC32APWR,TSSOP-14,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_AAD_WAKE_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-106,PCB-MAIN,U1,U1,MCU,STMicroelectronics,STM32U585VIT6Q,LQFP100_14x14,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_TARGET_SAMPLE,Authorized distributor or traceable tier-1 China channel,Label lot date code package X-ray sample ID readout
PR-107,PCB-MAIN,U4,U4,Temperature,STMicroelectronics,STTS22HTR,UDFN-6L_2x2mm,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_ASSEMBLY_REVIEW,Authorized distributor,X-ray sample ID and temperature compare
PR-108,PCB-MAIN,MAIN-010-Q4,Q4,Dual_MOSFET,Vishay,Si1016X-T1-GE3,SOT-563_SC-89,Complementary N and P channel 20 V,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-109,PCB-MAIN,X1,X1,Clock,SiTime,SiT1552AI-JE-DCC-32.768D,CSP-4_1.5x0.8mm,32.768 kHz full-swing LVCMOS,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_LSE_BYPASS_REVIEW,Authorized distributor,Frequency and current sample test
PR-110,PCB-MAIN,MAIN-010-C36 | MAIN-010-C44,C36 | C44,Capacitor,KEMET,T520D107M006ATE015,7343-31,100 uF 6.3 V 15 mOhm polymer,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-111,PCB-MAIN,MAIN-010-D10 | MAIN-010-D11 | MAIN-010-D6 | MAIN-010-D7 | MAIN-010-D8 | MAIN-010-D9,D10 | D11 | D6 | D7 | D8 | D9,ESD_Diode,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V 0.5 pF ESD,COMMON,FITTED,24,0,24,60,0,60,120,0,120,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-112,PCB-MAIN,MAIN-010-D4,D4,RF_ESD,Texas Instruments,TPD1E05U06DYAR,SOD-523_DYA,5.5 V unidirectional 0.5 pF RF ESD,COMMON,FITTED,4,0,4,10,0,10,20,0,20,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-113,PCB-MAIN,MAIN-010-U25 | MAIN-010-U26,U25 | U26,USB_ESD_Array,Texas Instruments,TPD2EUSB30DRTR,SOT-9X3_DRT,2 channel 0.7 pF USB ESD,COMMON,FITTED,8,0,8,20,0,20,40,0,40,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-114,PCB-MAIN,MAIN-010-U19 | MAIN-010-U20 | MAIN-010-U21 | MAIN-010-U22 | MAIN-010-U23 | MAIN-010-U24 | MAIN-010-U27,U19 | U20 | U21 | U22 | U23 | U24 | U27,ESD_Array,Texas Instruments,TPD4E05U06DQAR,USON-10_DQA,4 channel 0.5 pF ESD,COMMON,FITTED,28,0,28,70,0,70,140,0,140,NONE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_REVIEW_A,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-115,PCB-PWR,U-PWR3,U5,Power,Texas Instruments,TPS7A2018PDBVR,SOT-23-5,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_NOISE_SAMPLE,Authorized distributor,Noise PSRR dropout thermal and AAD sleep current
PR-116,PCB-MAIN,U13,U13,SIM switch,Texas Instruments,TS3A27518EPWR,TSSOP-24_PW,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_USIM_SI_SAMPLE,Authorized distributor or traceable tier-1 channel,Marking supply leakage Ron capacitance and 100 switch cycles
PR-117,PCB-MAIN,J-RF-CELL | J-RF-GNSS,J8 | J9,RF connector,Hirose,U.FL-R-SMT-1(60),U.FL SMT receptacle,,COMMON,FITTED,8,4,12,20,8,28,40,16,56,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,LAYOUT_ZONE_FROZEN_PENDING_RF_VALIDATION,Authorized Hirose distributor,Visual mate gauge continuity VNA and VSWR | Visual mate gauge continuity receiver sensitivity and active-antenna current
PR-118,PCB-MAIN,J-RF-LORA,J10,RF connector,Hirose,U.FL-R-SMT-1(60),U.FL SMT receptacle,,RU868_PILOT,FITTED,4,2,6,10,4,14,20,8,28,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,LAYOUT_ZONE_FROZEN_PENDING_RF_VALIDATION,Authorized Hirose distributor,Visual mate gauge continuity conducted power sensitivity and VSWR
PR-119,PCB-MAIN,J-USB,J11,Connector,GCT,USB4105-GF-A-120,16 positions,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,MECHANICAL_AUTHORITY_FROZEN_PENDING_PHYSICAL_TEST,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
PR-120,PCB-MAIN,U2,U2,Memory,Winbond,W25Q512JVFIQ,SOIC-16_300mil,,COMMON,FITTED,4,1,5,10,3,13,20,5,25,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_SAMPLE,Authorized or traceable LCSC-class channel,Marking electrical ID read/write/erase soak
PR-121,PCB-PWR,R-SHUNT-01,RSH1,Shunt,Vishay Dale,WSK2512R0100FEA,WSK2512 4-terminal 6.35x3.18 mm,10 mOhm 1% 1 W,COMMON,FITTED,4,2,6,10,5,15,20,10,30,SCALE_CEIL_FROM_20_BASELINE,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_KELVIN_LAYOUT_SAMPLE,Authorized current-sense resistor vendor,Resistance TCR marking and four-wire reference measurement
PR-122,PCB-PWR,PWR-L,L1;L2,Passive,Coilcraft,XAL7030-472MEC,XAL7030,4.7 uH +/-20%,COMMON,FITTED,8,10,18,20,10,30,40,10,50,FIXED_LOT_MIN,CONTROLLED_PENDING_VERIFICATION,SELECTED_PENDING_LAYOUT_THERMAL_EMI,Authorized or traceable tier-1 channel,Marking MPN package orientation electrical functional sample
